,region,location,activity,title,description,price,rating,review_count,duration,url,description_clean,general
69,Visayas,Cebu,boat charters,Whale Shark Encounter and Tumalog Waterfalls Tour,,5468.92,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d12990554-Whale_Shark_Encounter_and_Tumalog_Waterfalls_Tour-Cebu_City_Cebu_Island_Visayas.html,,Water Activities
70,Visayas,Cebu,Day Trips,Cebu Safari Day Tour,"Want a Safari adventure? This is the best place to go. The Cebu Safari & Adventure Park is the premier Safari park in the country located in Northern Cebu. Atop the beautiful and scenic hills of Carmen, about an hour?ÅEEEEEEEE???ÅEEEEEEEEs drive away from Cebu City, adventure beckons for those who are ready to escape into something new and wonderful.

It serves as a sanctuary for hundreds of different species of plants and animals. This over 170-hectare property features more than a thousand animals from 120 different species.

The Park?ÅEEEEEEEE???ÅEEEEEEEEs main features, for now, are the African Savanna, Michelle?ÅEEEEEEEE???ÅEEEEEEEEs Garden, Gardens of the World, and the White Lion Safari.

The Park also caters to adventure seekers with its very own Adventure Park which features one of the longest and highest Ziplines in the country at 1.3 km. long and 671 m. above sea level. Designed with an awesome landscape.

Book with us and be amazed by your experience with nature.",4375.14,4.5,8,8,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d24125117-Cebu_Safari_Day_Tour-Cebu_City_Cebu_Island_Visayas.html,Want Safari adventure best place go Cebu Safari Adventure Park premier Safari park country located Northern Cebu Atop beautiful scenic hills Carmen hourÅEEEEEEEEÅEEEEEEEEs drive away Cebu City adventure beckons ready escape something new wonderful serves sanctuary hundreds different species plants animals 170hectare property features thousand animals 120 different species ParkÅEEEEEEEEÅEEEEEEEEs main features African Savanna MichelleÅEEEEEEEEÅEEEEEEEEs Garden Gardens World White Lion Safari Park also caters adventure seekers Adventure Park features one longest highest Ziplines country 13 km long 671 sea level Designed awesome landscape Book us amazed experience nature,Tours
71,Visayas,Cebu,Day Trips,Private Day Trips from Cebu to Bohol 2D and 1N with Bohol Country Side Tour,"Have fun and enjoy the Day Trips to Bohol with an expert guide who shows you the natural beauty of the Bohol, far from the bustle of Cebu. Relax in air-conditioned comfort as you travel throughout the island, This comprehensive tour into the Bohol countryside features plenty of attractions, ideal for the first-time visitors who want to pack a lot into one day. You?ÅEEEEEEEE???ÅEEEEEEEEll visit the Chocolate Hills; see Mahogany trees in the Bohol Man Made forest; get a close-up encounter with a Tarsier, a tiny primate; take a 1 or???ˇ2 -hour cruise on the Loboc River; Visit the 2nd Oldest Church in the Philippines; visit???ˇthe 300kg Python and also the Butterfly Garden and visit several historical sites. Enjoy a buffet lunch at a floating restaurant and hear commentary from your informative guide. Then going to the Hotel.",25905.43,4.5,8,48,https://www.tripadvisor.com.ph/AttractionProductReview-g1811784-d13534608-Private_Day_Trip_from_Cebu_to_Bohol_2D_and_1N_with_Bohol_Country_Side_Tour-Talisa.html,fun enjoy Day Trips Bohol expert guide shows natural beauty Bohol far bustle Cebu Relax airconditioned comfort travel throughout island comprehensive tour Bohol countryside features plenty attractions ideal firsttime visitors want pack lot one day YouÅEEEEEEEEÅEEEEEEEEll visit Chocolate Hills see Mahogany trees Bohol Man Made forest get closeup encounter Tarsier tiny primate take 1 orˇ2 hour cruise Loboc River Visit 2nd Oldest Church Philippines visitˇthe 300kg Python also Butterfly Garden visit several historical sites Enjoy buffet lunch floating restaurant hear commentary informative guide going Hotel,Tours
72,Luzon,Central Luzon,boat charters,Anawangin Cove,"Because of its unusual landscape, with towering pine trees growing on its sandy shores instead of the usual coconut palms found on most tropical beaches. Additionally, the cove's location at the foot of the Zambales mountain range gives it a dramatic and scenic backdrop, making it a favorite destination for nature lovers and adventure seekers.",11801.36,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g1028037-d21103327-Anawangin_Cove-Pundaquit_Zambales_Province_Central_Luzon_Region_Luzon.html,unusual landscape towering pine trees growing sandy shores instead usual coconut palms found tropical beaches Additionally coves location foot Zambales mountain range gives dramatic scenic backdrop making favorite destination nature lovers adventure seekers,Water Activities
73,Visayas,Bohol,canyoneering,Waterfalls Tour with Boodle Fight Lunch in Bohol,"Explore natural wonders of Bohol like waterfalls, rice terraces, and a beach with this private day tour to Pangas or Candijay. This tour already includes air-conditioned van transfers, entrance fees, and assistance of a tour guide. Usually, this tour lasts for around 10-11 hours, so make sure to get enough rest the day before to fuel you during this trip.",5468.92,4.5,8,8,https://www.tripadvisor.com.ph/AttractionProductReview-g1549838-d19877684-Waterfalls_Tour_with_Boodle_Fight_Lunch_in_Bohol-Guindulman_Bohol_Island_Bohol_Pr.html,Explore natural wonders Bohol like waterfalls rice terraces beach private day tour Pangas Candijay tour already includes airconditioned van transfers entrance fees assistance tour guide Usually tour lasts around 1011 hours make sure get enough rest day fuel trip,Outdoor Activities
74,Luzon,Palawan,boat charters,Castaway Island Camping,"PRIVATE - We do not require minimum number of guests. We always go in private which gives you more flexibility.

REASONABLY PRICED - This is by far the cheapest because we are utilizing local staffing and resources. We use smaller boats that consumes less fuel and crew.

SNORKELING AND ISLAND HOPPING INCLUDED

PERSONALIZED SERVICE ",9119.86,4.5,8,1,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d15698859-Castaway_Island_Camping-Palawan_Island_Palawan_Province_Mimaropa.html,PRIVATE require minimum number guests always go private gives flexibility REASONABLY PRICED far cheapest utilizing local staffing resources use smaller boats consumes less fuel crew SNORKELING ISLAND HOPPING INCLUDED PERSONALIZED SERVICE,Water Activities
75,Luzon,Palawan,Day Trips,Underground River tour with transfers to El Nido,"Heading straight to El Nido but wanted to see the Underground River first? This is the activity for you.

You'll be picked up from the airport or your hotel in the morning and will be brought to the Sabang, about 90 minutes away from the city center. Wear comfortable footwear and clothes as there will be a chance that you'll get wet during boat transfers.

After the tour, you'll be treated to a delicious lunch buffet of Filipino delicacies. You also have the option to book additional activities like a zip line flight, mangrove forest tour, or both!

After the tour, you'll head for a 6-hour long drive to El Nido and will be dropped off at your hotel downtown or at the transport terminal. ",14391.91,4.5,8,8,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d24003430-Underground_River_tour_with_transfers_to_El_Nido-Palawan_Island_Palawan_Province_M.html,Heading straight El Nido wanted see Underground River first activity Youll picked airport hotel morning brought Sabang 90 minutes away city center Wear comfortable footwear clothes chance youll get wet boat transfers tour youll treated delicious lunch buffet Filipino delicacies also option book additional activities like zip line flight mangrove forest tour tour youll head 6hour long drive El Nido dropped hotel downtown transport terminal,Tours
76,Visayas,Cebu,canyoneering,Oslob Whaleshark Watching Tour with Kawasan (Badian) Canyoneering in Cebu,,8635.14,4.5,8,14,https://www.tripadvisor.com.ph/AttractionProductReview-g1811784-d13181985-Oslob_Whaleshark_Watching_Tour_with_Kawasan_Badian_Canyoneering_in_Cebu-Talisay_C.html,,Outdoor Activities
77,Luzon,Metro Manila,Day Trips,A private Historical Intramuros & highlights in Manila,"A private tour to historical site in Manila. Visit must see landmarks like Rizal Park, Fort Santiago & Intramuros. A full day experience inside the walled city visiting historical sites like World heritage site ?ÅEEEEEEEE???ÅEEEEEEEE San Agustin, Manila Cathedral & museums.
You can even customize this tour in your own interests like shopping. ",9210.82,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d19008522-A_private_Historical_Intramuros_highlights_in_Manila-Manila_Metro_Manila_Luzon.html,private tour historical site Manila Visit must see landmarks like Rizal Park Fort Santiago Intramuros full day experience inside walled city visiting historical sites like World heritage site ÅEEEEEEEEÅEEEEEEEE San Agustin Manila Cathedral museums even customize tour interests like shopping,Tours
78,Visayas,Cebu,Day Trips,Cebu Safari Journeys,"A private tour to Cebu Safari Park. Get connected with the wild animals in the jungle, beautiful garden & the bird show. See the wild attractions in the park and all animal exhibits, interactions and the newly expanded Michel?ÅEEEEEEEE???ÅEEEEEEEEs Garden, African Savana, Bird Show, and white lion safari.",7483.79,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d19008523-Cebu_Safari_Journeys-Cebu_City_Cebu_Island_Visayas.html,private tour Cebu Safari Park Get connected wild animals jungle beautiful garden bird show See wild attractions park animal exhibits interactions newly expanded MichelÅEEEEEEEEÅEEEEEEEEs Garden African Savana Bird Show white lion safari,Tours
79,Visayas,Panay,air tours,Boracay Parasailing,"Watch the sea from above as you soar through the sky through parasailing. Considered as one of the most thrilling activities in Boracay Island, Parasailing is a vacation highlight you wouldn?ÅEEEEEEEE???ÅEEEEEEEEt want to miss. You?ÅEEEEEEEE???ÅEEEEEEEEll be securely strapped to a harness that?ÅEEEEEEEE???ÅEEEEEEEEs attached to a vibrant-colored parachute, launched skyward, and then pulled by a speedboat, giving you an extraordinary panoramic view of this world-class island. Avail of our Boracay Parasailing and create a lifelong memory! Get rewarded with an unforgettable experience, with less effort. Definitely one great activity for thrill-seekers and for people craving for a unique adventure.",3166.22,4.5,8,0,https://www.tripadvisor.com.ph/AttractionProductReview-g298465-d16667141-Boracay_Parasailing-Panay_Island_Visayas.html,Watch sea soar sky parasailing Considered one thrilling activities Boracay Island Parasailing vacation highlight wouldnÅEEEEEEEEÅEEEEEEEEt want miss YouÅEEEEEEEEÅEEEEEEEEll securely strapped harness thatÅEEEEEEEEÅEEEEEEEEs attached vibrantcolored parachute launched skyward pulled speedboat giving extraordinary panoramic view worldclass island Avail Boracay Parasailing create lifelong memory Get rewarded unforgettable experience less effort Definitely one great activity thrillseekers people craving unique adventure,Tours
80,Luzon,Metro Manila,Day Trips,Private Half-Day Shore Excursion Like a Local,,6495.36,4.5,8,4,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d12993473-Private_Half_Day_Shore_Excursion_Like_a_Local-Manila_Metro_Manila_Luzon.html,,Tours
81,Visayas,Bohol,boat charters,Napaling Sardine Run in Bohol,"Experience the sardine run in Bohol when you book this private tour. This 4-hour tour already comes with the entrance fee, the assistance of tour guide, air-conditioned van transfers, and boat transfers for your convenience. Located in the Northern area of Panglao Island, Napaling is a known dive site in Bohol, but you don't need to be an experienced diver in order to see the sardine run.",4893.25,4.5,8,4,https://www.tripadvisor.com.ph/AttractionProductReview-g1072126-d17797735-Napaling_Sardine_Run_in_Bohol-Balicasag_Island_Bohol_Province_Visayas.html,Experience sardine run Bohol book private tour 4hour tour already comes entrance fee assistance tour guide airconditioned van transfers boat transfers convenience Located Northern area Panglao Island Napaling known dive site Bohol dont need experienced diver order see sardine run,Water Activities
82,Visayas,Cebu,boat charters,Mactan Island Hopping Journeys,"A must see journey of a lifetime. A snorkeling activity in Marine sanctuary of Hilutungan Island, famous dive site. A island relaxation & sumptuous lunch in Nalusuan Island.",9498.66,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d18975389-Mactan_Island_Hopping_Journeys-Cebu_City_Cebu_Island_Visayas.html,must see journey lifetime snorkeling activity Marine sanctuary Hilutungan Island famous dive site island relaxation sumptuous lunch Nalusuan Island,Water Activities
83,Luzon,Palawan,boat charters,Puerto Princesa Underground River Tour in Palawan,"Puerto Princesa Subterranean River National Park, also known as Puerto Princesa Underground River, is located around 76 km northwest of Puerto Princesa in the Saint Paul Mountain Range. Named as a UNESCO World Heritage Site, it houses a ?ÅEEEEEEEE???ÅEEEEEEEEmountain to sea?ÅEEEEEEEE???ÅEEEEEEEE ecosystem with some of the most significant and intact old-growth forests in Asia, featuring the spectacular limestone karst landscape and the globally significant habitat for biodiversity conservation and threatened species of wildlife.

There are eight intact forest formations found in Puerto Princesa Subterranean River National Park: the beach forest, forest on ultramafic soil, forest on limestone soil, freshwater swamp forest, lowland evergreen tropical rainforest, mangrove forest, montane forest, and riverine forest. The Palawan Moist Forest, recognized by the WWF's Global Report, is outstanding biodiversity containing the richest tree flora with high levels of regional and local endemism.",3166.22,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294257-d20956798-Puerto_Princesa_Underground_River_Tour_in_Palawan-Puerto_Princesa_Palawan_Island_P.html,Puerto Princesa Subterranean River National Park also known Puerto Princesa Underground River located around 76 km northwest Puerto Princesa Saint Paul Mountain Range Named UNESCO World Heritage Site houses ÅEEEEEEEEÅEEEEEEEEmountain seaÅEEEEEEEEÅEEEEEEEE ecosystem significant intact oldgrowth forests Asia featuring spectacular limestone karst landscape globally significant habitat biodiversity conservation threatened species wildlife eight intact forest formations found Puerto Princesa Subterranean River National Park beach forest forest ultramafic soil forest limestone soil freshwater swamp forest lowland evergreen tropical rainforest mangrove forest montane forest riverine forest Palawan Moist Forest recognized WWFs Global Report outstanding biodiversity containing richest tree flora high levels regional local endemism,Water Activities
84,Visayas,Cebu,canyoneering,"Private Cebu Day Tour: Osmena Peak, Canyoneering , Kawasan Falls","There are special places on earth that provide majestic scenery, a fantastic region to walk through, and challenging hills that make it something beyond words. For a person who loves the great outdoors or just having a long drive to???ˇMoalboal Cebu, they want to get back to nature and to be able to enjoy what the planet has to offer without having it ruined by man-made intervention. If you are unfamiliar with this area, it?ÅEEEEEEEE???ÅEEEEEEEEs a spot that you really will want to visit. With an incredible green plant life and jagged hills, this peak offers you the incredible combination of both beauty and challenge. The peak is located along the shorelines of Badain and is the twin of the Chocolate Hills of Bohol. Located around the peak are fantastic villages that offer you an amazing array of shops, restaurants, and places to stay, destinations that you will find cost you literally a small fraction in comparison to what you would spend virtually anywhere else on the planet.???ˇ",16982.45,4.5,8,13,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d15359128-Private_Cebu_Day_Tour_Osmena_Peak_Canyoneering_Kawasan_Falls-Cebu_City_Cebu_Island.html,special places earth provide majestic scenery fantastic region walk challenging hills make something beyond words person loves great outdoors long drive toˇMoalboal Cebu want get back nature able enjoy planet offer without ruined manmade intervention unfamiliar area itÅEEEEEEEEÅEEEEEEEEs spot really want visit incredible green plant life jagged hills peak offers incredible combination beauty challenge peak located along shorelines Badain twin Chocolate Hills Bohol Located around peak fantastic villages offer amazing array shops restaurants places stay destinations find cost literally small fraction comparison would spend virtually anywhere else planetˇ,Outdoor Activities
85,Visayas,Panay,Day Trips,Experience Gems in Sibalom National Park (Nature Tour),"Sibalom Natural Park is a 5,511.47-hectare (13,619.1-acre) protected area in the Philippines on the island of Panay

The park has a mild montane forest, a lowland forest, some bushland and open cogon or grassland.[2] Its riverbeds contain semi-precious gemstones such as agate, jasper and onyx.[5]
About 5,000 hectares of forest in Sibalom from Mount Porras extending to Mount Igmatindog, covers Sibalom River and its tributaries. Of this forest, 672 hectares are undisturbed by any human activity while about 4,223 hectares constitutes the 50-year-old reforestation site

One of the main highlights is the large flower Rafflesia speciosa, discovered in Mount Porras and surrounding barangays in 2002[6]
The Philippine dipterocarp trees such as white lauan and apitong, and fruit trees such as antipolo and malapaho are found in the forests of Sibalom. The globally endangered giant flower, the Rafflesia speciosa, also blooms in the park.",6200.03,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298465-d19708275-Experience_Gems_in_Sibalom_National_Park_Nature_Tour-Panay_Island_Visayas.html,Sibalom Natural Park 551147hectare 136191acre protected area Philippines island Panay park mild montane forest lowland forest bushland open cogon grassland2 riverbeds contain semiprecious gemstones agate jasper onyx5 5000 hectares forest Sibalom Mount Porras extending Mount Igmatindog covers Sibalom River tributaries forest 672 hectares undisturbed human activity 4223 hectares constitutes 50yearold reforestation site One main highlights large flower Rafflesia speciosa discovered Mount Porras surrounding barangays 20026 Philippine dipterocarp trees white lauan apitong fruit trees antipolo malapaho found forests Sibalom globally endangered giant flower Rafflesia speciosa also blooms park,Tours
86,Luzon,Palawan,boat charters,Amazing Puerto princesa Underground River with Ugong Rock Cave,,6908.12,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294257-d13332367-Amazing_Puerto_princesa_Underground_River_with_Ugong_Rock_Cave-Puerto_Princesa_Pal.html,,Water Activities
87,Luzon,Metro Manila,Day Trips,Cavite Leisure And Farm Tour,,9801.46,4.5,8,7,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d17824507-Cavite_Leisure_And_Farm_Tour-Manila_Metro_Manila_Luzon.html,,Tours
88,Luzon,Palawan,multi-Day Tours,5D4N Puerto Princesa & Port Barton Tour Package,"Enjoy a 5-day vacation in the tropical island of Palawan. Get to see a UNESCO World Heritage Site and visit Port Barton. An idyllic town in the northern part of the island, away from the usual crowds of the more popular El Nido.

This pre-arranged tour package includes an overnight stay in Puerto Princesa, and 3 nights in Port Barton. All associated fees with the service are included except for meals not explicitly mentioned.",27632.46,4.5,8,72,https://www.tripadvisor.com.ph/AttractionProductReview-g14078143-d25229008-5D4N_Puerto_Princesa_Port_Barton_Tour_Package-Aborlan_Palawan_Province_Mimaropa.html,Enjoy 5day vacation tropical island Palawan Get see UNESCO World Heritage Site visit Port Barton idyllic town northern part island away usual crowds popular El Nido prearranged tour package includes overnight stay Puerto Princesa 3 nights Port Barton associated fees service included except meals explicitly mentioned,Tours
89,Visayas,Cebu,Day Trips,Bohol Chocolate Hills & Tarsiers with roundtrip ferry from Cebu,"A must to do in the Philippines!
Sunsets are the same everywhere! There are beautiful rivers & waterfalls somewhere but not the Jewels of the Philippines ",10074.33,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d18975387-Bohol_Chocolate_Hills_Tarsiers_with_roundtrip_ferry_from_Cebu-Cebu_City_Cebu_Islan.html,must Philippines Sunsets everywhere beautiful rivers waterfalls somewhere Jewels Philippines,Tours
90,Luzon,Metro Manila,hiking,Mt. Talamitam Full-Day Hike Tour from Manila 2022,"Mt. Talamitam had a dazzling and superb history. According to its past history, it has pure lush green plants and untainted flora. However, for some reason, the trees are not existing now. As of now, its peak is unvarnished, but maximum attempts are in progress to protect and restore the peak with tree planting activity by the locals, DENR (Department of Environment and Natural Resources), and some volunteers. Mt. Talamitam also offers a chill hike and a nice place to destress and unwind from the bustle of city life.",7195.95,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d24124573-Mt_Talamitam_Full_Day_Hike_Tour_from_Manila_2022-Manila_Metro_Manila_Luzon.html,Mt Talamitam dazzling superb history According past history pure lush green plants untainted flora However reason trees existing peak unvarnished maximum attempts progress protect restore peak tree planting activity locals DENR Department Environment Natural Resources volunteers Mt Talamitam also offers chill hike nice place destress unwind bustle city life,Tours
91,Visayas,Bohol,Day Trips,Strawberry Farm Tour in Bohol,"We were made to believe that frolicking in wide strawberry farm can only be enjoyed in highlands of Baguio and Benguet. Well, not anymore. There are strawberries in Bohol Organic and Strawberry Farm in Brgy. Mayana, Jagna in the province of Bohol offers a wide area of sweet and succulent strawberries available for picking. It is believed that growing strawberries in the elevated Brgy. Mayana is probably ideal because of its cool temperature.",7195.95,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g1066348-d21162323-Strawberry_Farm_Tour_in_Bohol-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html,made believe frolicking wide strawberry farm enjoyed highlands Baguio Benguet Well anymore strawberries Bohol Organic Strawberry Farm Brgy Mayana Jagna province Bohol offers wide area sweet succulent strawberries available picking believed growing strawberries elevated Brgy Mayana probably ideal cool temperature,Tours
92,Luzon,Luzon,hiking,Day Hike: Mount Daraitan plus Tinipak River start point Manila** updated 2022,"Mt. Daraitan is the top destination for hikers this year because of the scenic location that can offer to every mountaineer! The mountain is 739 meters above sea level that can be seen from the jump-off point. It is located in the eastern part of Tanay, Rizal and almost situated near the boundary of General Nakar, Quezon. This day hike will really activate your hype as an adventurer as it offers activities such us; viewing the sea of clouds and mountain peaks of the Sierra Madre, Heart Peak Summit and the majestic water of Tinipak River!

Specs: Minor climb, Difficulty 4/9, Trail class 1-3*** 

SOLO TRAVELERS ARE ALSO WELCOME

*** Free pick up/drop off from your hotel in Makati, Taguig, Ermita (Manila), Malate(Manila),, Muntinlupa and Pasay. additional charges will incur outside these areas",8635.14,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294248-d20080564-Day_Hike_Mount_Daraitan_plus_Tinipak_River_start_point_Manila_updated_2022-Luzon.html,Mt Daraitan top destination hikers year scenic location offer every mountaineer mountain 739 meters sea level seen jumpoff point located eastern part Tanay Rizal almost situated near boundary General Nakar Quezon day hike really activate hype adventurer offers activities us viewing sea clouds mountain peaks Sierra Madre Heart Peak Summit majestic water Tinipak River Specs Minor climb Difficulty 49 Trail class 13 SOLO TRAVELERS ALSO WELCOME Free pick updrop hotel Makati Taguig Ermita Manila MalateManila Muntinlupa Pasay additional charges incur outside areas,Tours
93,Luzon,Palawan,multi-Day Tours,8-Day Puerto Princesa & El Nido,"Arrive to Puerto Princesa airport on Day 1 and take a transfer to your accommodation. Embark on a spectacular subterranean river excursion on Day 2, then transfer to El Nido on Day 3. On Days 4-6, you will experience an amazing 3-day El Nido adventure to go swimming, snorkelling and sunbathing at beautiful beaches before heading inland to explore by bicycle. Then take a transfer back to Puerto Princesa on Day 8 where your trip comes to an end as you are dropped off at the airport or at the accommodation of your choice.",68678.18,4.5,8,72,https://www.tripadvisor.com.ph/AttractionProductReview-g294257-d15090447-8_Day_Puerto_Princesa_El_Nido-Puerto_Princesa_Palawan_Island_Palawan_Province_Mima.html,Arrive Puerto Princesa airport Day 1 take transfer accommodation Embark spectacular subterranean river excursion Day 2 transfer El Nido Day 3 Days 46 experience amazing 3day El Nido adventure go swimming snorkelling sunbathing beautiful beaches heading inland explore bicycle take transfer back Puerto Princesa Day 8 trip comes end dropped airport accommodation choice,Tours
94,Visayas,Cebu,canyoneering,Private Cebu: Canyoneering and Kawasan Falls Day Tour,"Do you feel adventurous these days? Canyoneering + Kawasan Falls Day Tour is for you! It?ÅEEEEEEEE???ÅEEEEEEEEs time to explore how far your courage can take you and your friends?ÅEEEEEEEE???ÅEEEEEEEE in this Canyoneering and Kawasan Falls Tour Package. Face your fears while you indulge yourself with the enchanting secrets of this heart and adrenaline pumping adventure. In its secure environment, experience the thrill and the fascinating wonders of nature while hiking, jumping, climbing, bamboo rafting, and of course the notorious ?ÅEEEEEEEE???ÅEEEEEEEEhabal-habal?ÅEEEEEEEE???ÅEEEEEEEE ride. Check this out of your list and be amazed how daring you can be.

Triumph over your fears while we make sure that overcoming it can still get the quality service it deserves.",15942.2,4.5,8,13,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d15359123-Private_Cebu_Canyoneering_and_Kawasan_Falls_Day_Tour-Cebu_City_Cebu_Island_Visayas.html,feel adventurous days Canyoneering Kawasan Falls Day Tour ItÅEEEEEEEEÅEEEEEEEEs time explore far courage take friendsÅEEEEEEEEÅEEEEEEEE Canyoneering Kawasan Falls Tour Package Face fears indulge enchanting secrets heart adrenaline pumping adventure secure environment experience thrill fascinating wonders nature hiking jumping climbing bamboo rafting course notorious ÅEEEEEEEEÅEEEEEEEEhabalhabalÅEEEEEEEEÅEEEEEEEE ride Check list amazed daring Triumph fears make sure overcoming still get quality service deserves,Outdoor Activities
95,Visayas,Cebu,snorkeling,Olango Island Bird Watching and Snorkeling Day Trips from Cebu,,12222.18,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d12465165-Olango_Island_Bird_Watching_and_Snorkeling_Day_Trip_from_Cebu-Cebu_City_Cebu_Islan.html,,Water Activities
96,Luzon,Palawan,Day Trips,Puerto Princesa City Familiarization Shore Excursion,"Spend your day visiting places around Puerto Princesa. Get to know its people, heritage, and culture. You will also have the chance to buy some souvenir items, including authentic South Sea pearls, and other woven products made from indigenous materials. 

Your tour guide will pick you up from the port's gate and you'll board a van that will take you around the City. Aside from the City's top attractions, you'll also be stopping in a restaurant to have a hearty lunch.

After the tour, your guide will bring you back at the port.",8635.14,4.5,8,5,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d11484779-Puerto_Princesa_City_Familiarization_Shore_Excursion-Palawan_Island_Palawan_Provin.html,Spend day visiting places around Puerto Princesa Get know people heritage culture also chance buy souvenir items including authentic South Sea pearls woven products made indigenous materials tour guide pick ports gate youll board van take around City Aside Citys top attractions youll also stopping restaurant hearty lunch tour guide bring back port,Tours
97,Luzon,Metro Manila,Day Trips,Intramuros: History of Old Manila | Manila Shore Excursion,"This is a half-day historical tour of Intramuros, the walled city of Manila. Our tour is in storytelling format that talks about the important events that shaped the Philippines. 

If you only have half-a-day to spend and wanted to hear story more than the fast-paced picture-taking city tours, this is the tour for you and your group. This is a history-and-culture-anchored tour that involves part walking, horse-back riding (when there are more than 4 tourists) and museum visits. 

We curated this tour to tell more than 400 years of history in less than 4 hours. ",4797.69,4.5,8,4,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d15709510-Intramuros_History_of_Old_Manila_Manila_Shore_Excursion-Manila_Metro_Manila_Luzon.html,halfday historical tour Intramuros walled city Manila tour storytelling format talks important events shaped Philippines halfaday spend wanted hear story fastpaced picturetaking city tours tour group historyandcultureanchored tour involves part walking horseback riding 4 tourists museum visits curated tour tell 400 years history less 4 hours,Tours
98,Visayas,Bohol,Day Trips,Alicia Panoramic Park Private Tour,"ULTIMATE BOHOL NATURE TOUR
It is called ultimate as this tour will take you to an incredible experience. Starts 3:30am, 2hrs travel time to the area 1-2hrs hiking, 
experience to be refreshed, amaze with gift of nature and a lot more. ",6332.44,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g1066348-d24075302-Alicia_Panoramic_Park_Private_Tour-Tagbilaran_City_Bohol_Island_Bohol_Province_Vi.html,ULTIMATE BOHOL NATURE TOUR called ultimate tour take incredible experience Starts 330am 2hrs travel time area 12hrs hiking experience refreshed amaze gift nature lot,Tours
99,Luzon,Palawan,boat charters,Private Full-Day Tour to Coron Tour B by Boat,"Coron Island Hopping Tour B is another set of island tours that comprises of different islands and lakes surrounded around the town.

Destinations include:
-Barracuda Lake
-Twin Lagoon
-Malwaey Reef
-Coral Reef Garden
-White Sand Beach
",46054.1,4.5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g729733-d20302961-Private_Full_Day_Tour_to_Coron_Tour_B_by_Boat-Coron_Busuanga_Island_Palawan_Provin.html,Coron Island Hopping Tour B another set island tours comprises different islands lakes surrounded around town Destinations include Barracuda Lake Twin Lagoon Malwaey Reef Coral Reef Garden White Sand Beach,Water Activities
100,Luzon,Central Luzon,Day Trips,International Cuisine Tour in Pampanga,"Our tour has wide variety of cuisine choices (8 people max). We offer transport pick-up from your hotel and in the end of the tour drop off at your hotel, the transportation time is included in the total time of the tour.

The food tour itself take about 4 hours and transportation between 1 to 2 hours depending on where you are located, most food tours just meet you at a meeting point, we however give you full service. With Pampanga tours your in good hands. ",10852.18,4.5,8,5,https://www.tripadvisor.com.ph/AttractionProductReview-g469410-d25452514-International_Cuisine_Tour_in_Pampanga-Angeles_City_Pampanga_Province_Central_Luzo.html,tour wide variety cuisine choices 8 people max offer transport pickup hotel end tour drop hotel transportation time included total time tour food tour take 4 hours transportation 1 2 hours depending located food tours meet meeting point however give full service Pampanga tours good hands,Tours
101,Visayas,Cebu,boat charters,Bojo River Eco-Adventure Tour,"Travel to the midwest part of Cebu and enjoy a scenic cruise along Bojo River to learn and appreciate mangrove ecology, wildlife flora & fauna, mat weaving, snorkeling, swimming and a picnic lunch. Stop at the Capilla Sta. Ana Museum and be struck with its priceless treasures of century old paintings and religious icons as well as their labyrinth.",9078.41,4.5,8,8,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d12980674-Bojo_River_Eco_Adventure_Tour-Cebu_City_Cebu_Island_Visayas.html,Travel midwest part Cebu enjoy scenic cruise along Bojo River learn appreciate mangrove ecology wildlife flora fauna mat weaving snorkeling swimming picnic lunch Stop Capilla Sta Ana Museum struck priceless treasures century old paintings religious icons well labyrinth,Water Activities
